Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
21382346,09/07/2011 12:00 AM,09/07/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Home,10002,181 CHRYSTIE STREET,CHRYSTIE STREET,RIVINGTON STREET,STANTON STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,09/07/2011 12:00 AM,03 MANHATTAN,MANHATTAN,986432,202134,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72148758557228,-73.9921281845423,"(40.72148758557228, -73.9921281845423)"
21368183,09/05/2011 12:00 AM,09/05/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Street/Sidewalk,10009,736 EAST 9 STREET,EAST 9 STREET,AVENUE C,AVENUE D,,,ADDRESS,NEW YORK,,N/A,Closed,,09/05/2011 12:00 AM,03 MANHATTAN,MANHATTAN,990772,203285,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72464466682634,-73.9764700214945,"(40.72464466682634, -73.9764700214945)"
21369037,09/05/2011 12:00 AM,09/05/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Street/Sidewalk,10009,243 EAST 7 STREET,EAST 7 STREET,AVENUE C,AVENUE D,,,ADDRESS,NEW YORK,,N/A,Closed,,09/05/2011 12:00 AM,03 MANHATTAN,MANHATTAN,990292,202983,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72381609094517,-73.97820202969608,"(40.72381609094517, -73.97820202969608)"
21361104,09/04/2011 12:00 AM,09/04/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10002,157 LUDLOW STREET,LUDLOW STREET,RIVINGTON STREET,STANTON STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,09/04/2011 12:00 AM,03 MANHATTAN,MANHATTAN,987604,201957,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72100139658003,-73.9879001482633,"(40.72100139658003, -73.9879001482633)"
21361563,09/04/2011 12:00 AM,09/04/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10009,,,,,EAST    7 STREET,AVENUE C,INTERSECTION,NEW YORK,,N/A,Closed,,09/04/2011 12:00 AM,03 MANHATTAN,MANHATTAN,990110,203080,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.724082454866426,-73.97885855404745,"(40.724082454866426, -73.97885855404745)"
21365236,09/04/2011 12:00 AM,09/04/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Home,10009,465 EAST 10 STREET,EAST 10 STREET,BEND,F D R DRIVE,,,ADDRESS,NEW YORK,,N/A,Closed,,09/04/2011 12:00 AM,03 MANHATTAN,MANHATTAN,991418,203258,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72457005850578,-73.97413942080235,"(40.72457005850578, -73.97413942080235)"
21365249,09/04/2011 12:00 AM,09/04/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10009,523 EAST 12 STREET,EAST 12 STREET,AVENUE A,AVENUE B,,,ADDRESS,NEW YORK,,N/A,Closed,,09/04/2011 12:00 AM,03 MANHATTAN,MANHATTAN,989626,204796,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72879276467573,-73.98060333669096,"(40.72879276467573, -73.98060333669096)"
21361110,09/04/2011 12:00 AM,09/04/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Street/Sidewalk,10009,519 EAST 12 STREET,EAST 12 STREET,AVENUE A,AVENUE B,,,ADDRESS,NEW YORK,,N/A,Closed,,09/04/2011 12:00 AM,03 MANHATTAN,MANHATTAN,989607,204806,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.728820223760685,-73.98067188092321,"(40.728820223760685, -73.98067188092321)"
21360333,09/03/2011 12:00 AM,09/03/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Street/Sidewalk,10009,63 AVENUE D,AVENUE D,EAST 5 STREET,EAST 6 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,09/03/2011 12:00 AM,03 MANHATTAN,MANHATTAN,990567,202354,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72208944610159,-73.97721049138062,"(40.72208944610159, -73.97721049138062)"
21359386,09/03/2011 12:00 AM,09/03/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Street/Sidewalk,10009,63 AVENUE D,AVENUE D,EAST 5 STREET,EAST 6 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,09/03/2011 12:00 AM,03 MANHATTAN,MANHATTAN,990567,202354,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72208944610159,-73.97721049138062,"(40.72208944610159, -73.97721049138062)"
