Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
23139685,04/29/2012 12:00 AM,04/29/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10003,136 SECOND AVENUE,SECOND AVENUE,ST MARK'S PLACE,EAST 9 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,,03 MANHATTAN,MANHATTAN,987715,204805,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.728818422499614,-73.98749823959777,"(40.728818422499614, -73.98749823959777)"
22473075,01/07/2012 12:00 AM,01/07/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10003,127 FOURTH AVENUE,FOURTH AVENUE,EAST 12 STREET,EAST 13 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,,03 MANHATTAN,MANHATTAN,987043,206407,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73321575770277,-73.98992215843091,"(40.73321575770277, -73.98992215843091)"
21617229,10/10/2011 12:00 AM,10/10/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10012,310 BOWERY,BOWERY,EAST 1 STREET,BLEECKER STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,10/10/2011 12:00 AM,02 MANHATTAN,MANHATTAN,986383,203415,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72500363240117,-73.9923045516781,"(40.72500363240117, -73.9923045516781)"
20750647,07/02/2011 12:00 AM,07/02/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10075,265 EAST 78 STREET,EAST 78 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,,07/02/2011 12:00 AM,08 MANHATTAN,MANHATTAN,996319,220917,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77303422968557,-73.95642599348551,"(40.77303422968557, -73.95642599348551)"
22521807,01/14/2012 12:00 AM,01/14/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10009,403 EAST 12 STREET,EAST 12 STREET,1 AVENUE,AVENUE A,,,ADDRESS,NEW YORK,,N/A,Closed,,,03 MANHATTAN,MANHATTAN,988915,205186,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72986362290686,-73.98316836156172,"(40.72986362290686, -73.98316836156172)"
23181918,05/06/2012 12:00 AM,05/06/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10034,9 DYCKMAN STREET,DYCKMAN STREET,HARLEM RIVER DRIVE,HARLEM RIVER DRIVE,,,ADDRESS,NEW YORK,,N/A,Closed,,,12 MANHATTAN,MANHATTAN,1005587,251740,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.8576171868003,-73.92286676143092,"(40.8576171868003, -73.92286676143092)"
22606226,01/27/2012 12:00 AM,01/27/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10010,329 THIRD AVENUE,THIRD AVENUE,EAST 24 STREET,EAST 25 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,,06 MANHATTAN,MANHATTAN,989114,208799,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.739780310121,-73.98244774392379,"(40.739780310121, -73.98244774392379)"
22654188,02/05/2012 12:00 AM,02/05/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10036,618 WEST 46 STREET,WEST 46 STREET,11 AVENUE,12 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,,,04 MANHATTAN,MANHATTAN,985073,217480,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.763608757992756,-73.99702905535511,"(40.763608757992756, -73.99702905535511)"
22653939,02/04/2012 12:00 AM,02/04/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10009,104 AVENUE C,AVENUE C,EAST 6 STREET,EAST 7 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,,03 MANHATTAN,MANHATTAN,990103,203061,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72403030910753,-73.97888382485749,"(40.72403030910753, -73.97888382485749)"
23178348,05/05/2012 12:00 AM,05/05/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10013,105 READE STREET,READE STREET,CHURCH STREET,WEST BROADWAY,,,ADDRESS,NEW YORK,,N/A,Closed,,,01 MANHATTAN,MANHATTAN,981965,200041,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71574277769142,-74.00824268927197,"(40.71574277769142, -74.00824268927197)"
